fiscal_year,primary_address_line_1,State_code,X_COORDINATE,Y_COORDINATE,Long,Lat,Community_district,Council-district,Census_tract,Borough_block_lot,NTA,NTA_Name,Geographical_District_code,Administrative_District_Code,Administrative_District_Name,Community_district 1,Police_precinct
2020,309 47 STREET,NY,981081,175710,-74.01142,40.648959,307,38,8000,3007550022,BK32,Sunset Park West,15,15,COMMUNITY SCHOOL DISTRICT 15,307,72
2020,655 PARKSIDE AVENUE,NY,997686,178433,-73.951575,40.656423,309,40,80200,3050500051,BK60,Prospect Lefferts Gardens-Wingate,17,17,COMMUNITY SCHOOL DISTRICT 17,309,71
2020,50 JEFFERSON AVENUE,NY,996670,187864,-73.955219,40.682311,303,36,22700,3019980001,BK69,Clinton Hill,13,13,COMMUNITY SCHOOL DISTRICT 13,303,79
2020,923 JEROME STREET,NY,1017745,179209,-73.879276,40.6585,305,42,107800,3044010001,BK82,East New York,19,75,CITYWIDE SPECIAL EDUCATION,305,75
2020,820 HANCOCK STREET,NY,1005891,188938,-73.92197,40.685241,303,41,37700,3014900001,BK35,Stuyvesant Heights,16,16,COMMUNITY SCHOOL DISTRICT 16,303,81
2020,43 SNYDER AVENUE,NY,996382,175718,-73.956279,40.648973,314,40,79400,3051030079,BK95,Erasmus,17,17,COMMUNITY SCHOOL DISTRICT 17,314,70
2020,858 JAMAICA AVENUE,NY,1019475,190401,-73.872983,40.689213,305,37,118201,3041060039,BK83,Cypress Hills-City Line,19,19,COMMUNITY SCHOOL DISTRICT 19,305,75
2020,37 HICKS STREET,NY,986235,194564,-73.992841,40.700709,302,33,100,3002110001,BK09,Brooklyn Heights-Cobble Hill,13,13,COMMUNITY SCHOOL DISTRICT 13,302,84
2020,80 UNDERHILL AVENUE,NY,993588,186494,-73.966333,40.678554,308,35,20500,3011450026,BK64,Prospect Heights,13,13,COMMUNITY SCHOOL DISTRICT 13,308,77
2020,511 7 AVENUE,NY,988149,180065,-73.985946,40.660912,307,38,14900,3008690001,BK37,Park Slope-Gowanus,15,15,COMMUNITY SCHOOL DISTRICT 15,307,72
